Id,Name,Type,Industry,AccountNumber,Ownership,Phone,Website,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,AnnualRevenue,NumberOfEmployees,Rating
001000000000027AAA,Main Street Cafe Supplies,Customer - Direct,Banking Client,ACC-1026,Public,(826) 602-9774,https://www.mainstreetcafesupplies.com,300 Enterprise Dr,Dallas,TX,75201,USA,728000000,1678,Hot
001000000000028AAA,Kroger,Customer - Direct,Banking Client,ACC-1027,Public,(830) 787-8349,https://www.kroger.com,1900 Harbor Way,Boston,MA,02110,USA,649000000,10899,Cold
001000000000029AAA,Global Logistics Partners,Customer - Direct,Banking Client,ACC-1028,Public,(752) 074-0986,https://www.globallogisticspartners.com,4100 Summit Ave,Minneapolis,MN,55402,USA,994000000,17894,Hot
001000000000030AAA,Chevron,Customer - Direct,Banking Client,ACC-1029,Subsidiary,(635) 839-4270,https://www.chevron.com,980 Capital Plaza,New York,NY,10005,USA,177000000,8727,Cold
001000000000031AAA,American Tower Corp.,Customer - Direct,Banking Client,ACC-1030,Public,(752) 002-9487,https://www.americantowercorp.com,100 Market St,Miami,FL,33131,USA,715000000,1615,Cold
001000000000032AAA,The Walt Disney Company,Customer - Direct,Banking Client,ACC-1031,Private,(308) 909-9785,https://www.thewaltdisneycompany.com,250 Innovation Ave,Denver,CO,80202,USA,496000000,296,Hot
001000000000033AAA,Oracle Corp.,Customer - Direct,Banking Client,ACC-1032,Public,(434) 623-3838,https://www.oraclecorp.com,500 Commerce Blvd,San Francisco,CA,94105,USA,625000000,15725,Hot
001000000000034AAA,Johnson & Johnson,Customer - Direct,Banking Client,ACC-1033,Public,(324) 235-5319,https://www.johnson&johnson.com,1200 Main St,Los Angeles,CA,90017,USA,200000000,1950,Hot
001000000000035AAA,UnitedHealth Group,Customer - Direct,Banking Client,ACC-1034,Public,(206) 280-3149,https://www.unitedhealthgroup.com,75 River Rd,Portland,OR,97204,USA,824000000,13574,Hot
001000000000036AAA,PayDay Services Inc.,Customer - Direct,Banking Client,ACC-1035,Public,(893) 293-4043,https://www.paydayservicesinc.com,840 Industrial Pkwy,Charlotte,NC,28202,USA,773000000,18523,Hot
001000000000037AAA,The Home Depot,Customer - Direct,Banking Client,ACC-1036,Subsidiary,(416) 461-8805,https://www.thehomedepot.com,300 Enterprise Dr,Nashville,TN,37219,USA,692000000,15542,Cold
001000000000038AAA,Creative Marketing Group,Customer - Direct,Banking Client,ACC-1037,Public,(565) 948-7770,https://www.creativemarketinggroup.com,1900 Harbor Way,St. Louis,MO,63101,USA,924000000,11124,Hot
001000000000039AAA,Innovative Tech Solutions,Customer - Direct,Banking Client,ACC-1038,Private,(387) 088-4132,https://www.innovativetechsolutions.com,4100 Summit Ave,Columbus,OH,43215,USA,141000000,4391,Warm
001000000000040AAA,Apple Inc.,Customer - Direct,Banking Client,ACC-1039,Public,(533) 669-9673,https://www.appleinc.com,980 Capital Plaza,Raleigh,NC,27601,USA,483000000,11233,Cold
001000000000041AAA,Cardinal Health,Customer - Direct,Banking Client,ACC-1040,Public,(880) 755-0347,https://www.cardinalhealth.com,100 Market St,Seattle,WA,98101,USA,743000000,17993,Cold
001000000000042AAA,McKesson,Customer - Direct,Banking Client,ACC-1041,Subsidiary,(359) 771-8437,https://www.mckesson.com,250 Innovation Ave,Detroit,MI,48226,USA,837000000,4587,Warm
001000000000043AAA,Walmart Inc.,Customer - Direct,Banking Client,ACC-1042,Private,(741) 658-8015,https://www.walmartinc.com,500 Commerce Blvd,Chicago,IL,60601,USA,946000000,19296,Cold
001000000000044AAA,AT&T,Customer - Direct,Banking Client,ACC-1043,Subsidiary,(529) 456-9556,https://www.at&t.com,1200 Main St,Houston,TX,77002,USA,962000000,18162,Warm
001000000000045AAA,Gordon Food Service,Customer - Direct,Banking Client,ACC-1044,Public,(293) 033-1930,https://www.gordonfoodservice.com,75 River Rd,Phoenix,AZ,85004,USA,459000000,9109,Cold
