TransactionID,TransactionDate,PayorName,PayorAccountNumber,PayorBank,PayorRoutingNumber,PayeeName,PayeeAccountNumber,PayeeBank,PayeeRoutingNumber,TransactionType,Amount,Currency,Status
TRN275EEEE17D,2025-11-26,General Motors,8188385898,BMO Harris Bank (US),071000288,UnitedHealth Group,9668811444,"TD Bank, N.A. (US)",031101266,ACH Debit,73742.56,USD,Completed
TRN5B86FB870B,2025-04-09,Procter & Gamble,5093804709,BMO Harris Bank (US),071000288,Ford Motor Company,2871848446,Wells Fargo,121000248,Domestic Wire,2210427.63,USD,Completed
TRN9C1BACB128,2025-04-02,Marathon Petroleum,7475213489,Citibank,021000089,Apple Inc.,4381753389,BMO Harris Bank (US),071000288,ACH Debit,177714.83,USD,Completed
TRNA2B863B664,2025-08-01,PepsiCo,4986541219,U.S. Bank,091000022,Chevron,2459252418,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),20054.54,USD,Completed
TRN58F8A98BD3,2025-10-11,Costco Wholesale,5498820000,BMO Harris Bank (US),071000288,Chevron,4809578949,JPMorgan Chase,021000021,Domestic Wire,4441001.79,USD,Completed
TRNC32527B7CA,2025-12-13,Intel Corp.,9526742852,BMO Harris Bank (US),071000288,Precision Manufacturing Inc.,7627168659,"TD Bank, N.A. (US)",031101266,RTP (Real-Time Payment),12900.48,USD,Failed
TRNCDA86FCBD7,2025-03-24,Target Corp.,6443804489,U.S. Bank,091000022,Procter & Gamble,2785072009,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),10696.50,USD,Completed
TRN45BB18B6BF,2025-06-26,Marathon Petroleum,3047036448,PNC Bank,043000096,Chevron,5018600113,BMO Harris Bank (US),071000288,Domestic Wire,4516282.31,USD,Pending
TRN5D410194B0,2025-07-17,Intel Corp.,6931931395,Wells Fargo,121000248,Procter & Gamble,3646393588,BMO Harris Bank (US),071000288,ACH Debit,160244.51,USD,Completed
TRN3E2D6440B0,2025-12-03,McKesson,3299534261,"TD Bank, N.A. (US)",031101266,Main Street Cafe Supplies,9367299862,BMO Harris Bank (US),071000288,ACH Debit,12480.49,USD,Completed
TRN584408E8A8,2025-01-09,AmerisourceBergen,1245369299,BMO Harris Bank (US),071000288,Delta Air Lines,8711663710,PNC Bank,043000096,RTP (Real-Time Payment),9187.42,USD,Completed
TRNADD2683E14,2025-12-18,Alphabet Inc.,9757580051,"TD Bank, N.A. (US)",031101266,UnitedHealth Group,8274154029,BMO Harris Bank (US),071000288,ACH Credit,148011.44,USD,Pending
TRNDFCE2A28CA,2025-10-03,Office Depot,9176919289,Bank of America,026009593,AmerisourceBergen,8713773586,BMO Harris Bank (US),071000288,ACH Debit,225449.33,USD,Completed
TRNCB1A67918E,2025-01-05,CVS Health,7314210604,Citibank,021000089,Boeing,5894095898,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),11727.05,USD,Completed
TRNE1A898D89E,2025-09-11,Main Street Cafe Supplies,6583103370,PNC Bank,043000096,Cisco Systems,5430081863,BMO Harris Bank (US),071000288,ACH Credit,167630.78,USD,Completed
TRN52A8A489DB,2025-02-22,Innovative Tech Solutions,5578520586,U.S. Bank,091000022,Creative Marketing Group,6459923362,BMO Harris Bank (US),071000288,Domestic Wire,1956284.37,USD,Completed
TRN1CE7DF5B24,2025-06-24,Precision Manufacturing Inc.,6065283954,BMO Harris Bank (US),071000288,Verizon Communications,1091944342,Bank of America,026009593,Domestic Wire,4040992.52,USD,Completed
TRN11AEA3193D,2025-08-24,Verizon Communications,3781276621,BMO Harris Bank (US),071000288,PayDay Services Inc.,2240575825,Bank of America,026009593,ACH Credit,19035.08,USD,Failed
TRNCE134129DC,2025-07-16,Intel Corp.,7213118561,BMO Harris Bank (US),071000288,Boeing,1466875919,Citibank,021000089,ACH Credit,9828.02,USD,Completed
TRNC02221ACDC,2025-02-27,Main Street Cafe Supplies,2540741683,BMO Harris Bank (US),071000288,Kroger,7128211075,Bank of America,026009593,ACH Debit,57590.80,USD,Completed
TRNE9D22B6D4E,2025-10-29,Microsoft Corp.,5348979193,PNC Bank,043000096,Global Logistics Partners,2292725376,BMO Harris Bank (US),071000288,Domestic Wire,3902664.16,USD,Completed
TRN806F327239,2025-01-24,Delta Air Lines,1206262899,JPMorgan Chase,021000021,Costco Wholesale,4989301115,BMO Harris Bank (US),071000288,ACH Credit,221018.21,USD,Completed
TRNB48C177A19,2025-11-15,General Motors,4779149876,BMO Harris Bank (US),071000288,Kroger,2100352888,U.S. Bank,091000022,ACH Debit,29980.62,USD,Pending
TRNE8507FF4EF,2025-06-10,Ford Motor Company,7234699328,BMO Harris Bank (US),071000288,Sysco Corporation,9553111025,Wells Fargo,121000248,ACH Debit,29534.75,USD,Completed
TRN431C7768F2,2025-04-19,Kroger,5739127381,BMO Harris Bank (US),071000288,Procter & Gamble,4334147784,Citibank,021000089,RTP (Real-Time Payment),2331.19,USD,Completed
TRNF875E56AE7,2025-01-26,Global Logistics Partners,8300193788,BMO Harris Bank (US),071000288,General Motors,9862286142,Wells Fargo,121000248,Domestic Wire,1671317.93,USD,Completed
TRN4EA42F2261,2025-01-03,Verizon Communications,5531138756,BMO Harris Bank (US),071000288,CVS Health,6216858422,Wells Fargo,121000248,ACH Credit,92330.77,USD,Completed
TRNC54F391B70,2025-05-18,Chevron,9838076941,BMO Harris Bank (US),071000288,Main Street Cafe Supplies,1174158271,U.S. Bank,091000022,Domestic Wire,995494.52,USD,Completed
TRN990A9FEE68,2025-12-28,American Tower Corp.,7239100704,BMO Harris Bank (US),071000288,Oracle Corp.,6842867601,Bank of America,026009593,RTP (Real-Time Payment),12999.14,USD,Completed
TRN1BDD2B3F45,2025-02-17,Precision Manufacturing Inc.,1563333312,U.S. Bank,091000022,Procter & Gamble,9524717732,BMO Harris Bank (US),071000288,ACH Debit,21611.45,USD,Completed
TRN4D393B6590,2025-04-15,The Walt Disney Company,1232142867,BMO Harris Bank (US),071000288,The Home Depot,3508374429,JPMorgan Chase,021000021,RTP (Real-Time Payment),22078.80,USD,Pending
TRN5C84F98D7F,2025-10-17,PepsiCo,4960304573,BMO Harris Bank (US),071000288,Microsoft Corp.,6191456482,PNC Bank,043000096,ACH Debit,170959.55,USD,Completed
TRNDBFEE92474,2025-02-12,Oracle Corp.,9882016242,BMO Harris Bank (US),071000288,Cisco Systems,4278541486,JPMorgan Chase,021000021,ACH Debit,180286.67,USD,Pending
TRN14F9D6F78A,2025-02-28,IBM,1711023521,BMO Harris Bank (US),071000288,Costco Wholesale,8699158742,Bank of America,026009593,ACH Debit,31176.14,USD,Completed
TRNFEC44899A3,2025-01-29,Costco Wholesale,9452051488,Bank of America,026009593,The Home Depot,1065692140,BMO Harris Bank (US),071000288,ACH Credit,160326.22,USD,Completed
TRN688DFA48B2,2025-07-10,Johnson & Johnson,8984960890,BMO Harris Bank (US),071000288,Oracle Corp.,3261987732,JPMorgan Chase,021000021,RTP (Real-Time Payment),23424.97,USD,Completed
TRN8C39B26F5E,2025-01-15,Starbucks Corp.,3482083955,JPMorgan Chase,021000021,CVS Health,1681993137,BMO Harris Bank (US),071000288,ACH Credit,148149.20,USD,Pending
TRNF6EB9171EB,2025-01-28,Global Logistics Partners,5925487068,U.S. Bank,091000022,Walmart Inc.,9408086174,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),6603.29,USD,Failed
TRNAB57941916,2025-02-19,Sysco Corporation,8912776434,Citibank,021000089,Alphabet Inc.,6837533250,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),798.69,USD,Pending
TRN2AF92E146C,2025-04-27,The Walt Disney Company,9162670913,BMO Harris Bank (US),071000288,General Motors,1496403092,"TD Bank, N.A. (US)",031101266,ACH Debit,209596.65,USD,Completed
TRNC2F18F5EA5,2025-02-14,The Home Depot,1341454112,"TD Bank, N.A. (US)",031101266,Target Corp.,5413493975,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),24102.82,USD,Completed
TRN24A86FC2AB,2025-05-08,Digital Realty Trust,2950676966,Citibank,021000089,PepsiCo,6083729949,BMO Harris Bank (US),071000288,ACH Credit,137521.66,USD,Completed
TRN579A48EBDD,2025-02-01,Intel Corp.,5437488620,BMO Harris Bank (US),071000288,Alphabet Inc.,1624213458,Wells Fargo,121000248,ACH Credit,80469.62,USD,Completed
TRN05018B4EA7,2025-01-24,Procter & Gamble,4721954870,BMO Harris Bank (US),071000288,Cardinal Health,1073252945,JPMorgan Chase,021000021,ACH Credit,28541.94,USD,Completed
TRN7F70980B25,2025-02-15,UnitedHealth Group,1343493781,BMO Harris Bank (US),071000288,Kroger,8944641704,Wells Fargo,121000248,RTP (Real-Time Payment),1249.75,USD,Completed
TRNF34FE06925,2025-12-15,Boeing,7400595143,BMO Harris Bank (US),071000288,Exxon Mobil,9040827452,Citibank,021000089,RTP (Real-Time Payment),5393.69,USD,Completed
TRN321BA74561,2025-04-15,Ford Motor Company,5362399387,PNC Bank,043000096,Oracle Corp.,7541711390,BMO Harris Bank (US),071000288,ACH Credit,105056.73,USD,Completed
TRNA36F174F19,2025-03-13,Digital Realty Trust,4449528952,BMO Harris Bank (US),071000288,Apple Inc.,5984790560,"TD Bank, N.A. (US)",031101266,Domestic Wire,1165539.20,USD,Completed
TRN84CCC8B972,2025-09-08,Office Depot,9160325672,JPMorgan Chase,021000021,American Tower Corp.,2941833653,BMO Harris Bank (US),071000288,ACH Credit,65893.35,USD,Completed
TRN8F3284698F,2025-02-19,PayDay Services Inc.,5035260915,BMO Harris Bank (US),071000288,American Tower Corp.,1591693957,"TD Bank, N.A. (US)",031101266,RTP (Real-Time Payment),16958.98,USD,Pending
TRN091DC22A6E,2025-11-23,Alphabet Inc.,5852206202,Wells Fargo,121000248,UnitedHealth Group,9328408030,BMO Harris Bank (US),071000288,Domestic Wire,4730819.62,USD,Pending
TRNB9DA3FF16F,2025-08-28,Boeing,1007202064,Bank of America,026009593,Delta Air Lines,4766154486,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),10536.15,USD,Completed
TRND4E01973D8,2025-07-22,IBM,5070024115,Bank of America,026009593,Kroger,2766833048,BMO Harris Bank (US),071000288,Domestic Wire,3320064.20,USD,Completed
TRN8534D56BC1,2025-09-01,Oracle Corp.,7052336305,BMO Harris Bank (US),071000288,Verizon Communications,6445586892,"TD Bank, N.A. (US)",031101266,RTP (Real-Time Payment),12626.14,USD,Completed
TRNBFE9F8B026,2025-02-25,Walgreens Boots Alliance,3986011932,U.S. Bank,091000022,United Parcel Service (UPS),3858849147,BMO Harris Bank (US),071000288,ACH Debit,120904.08,USD,Completed
TRN37408DBE9C,2025-04-12,Marathon Petroleum,4128599506,Bank of America,026009593,Oracle Corp.,9352968700,BMO Harris Bank (US),071000288,ACH Debit,35131.73,USD,Completed
TRN5F0F9284FC,2025-10-20,Oracle Corp.,9022280037,BMO Harris Bank (US),071000288,The Walt Disney Company,4334182456,U.S. Bank,091000022,ACH Debit,9714.79,USD,Completed
TRN919D395FC7,2025-11-13,CVS Health,6502840927,BMO Harris Bank (US),071000288,Office Depot,1776236624,Citibank,021000089,ACH Credit,145699.22,USD,Completed
TRND9960A2919,2025-03-12,Walmart Inc.,1650743285,Citibank,021000089,Ford Motor Company,9892848416,BMO Harris Bank (US),071000288,Domestic Wire,2165453.58,USD,Completed
TRNE72CE6E83E,2025-10-29,Boeing,2195397757,"TD Bank, N.A. (US)",031101266,Innovative Tech Solutions,1216044402,BMO Harris Bank (US),071000288,ACH Debit,10080.00,USD,Completed
TRN278AD0275D,2025-02-25,IBM,9214224896,Bank of America,026009593,Innovative Tech Solutions,1229683313,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),16884.35,USD,Completed
TRNAD8A2A1EBD,2025-07-30,Delta Air Lines,8875535627,"TD Bank, N.A. (US)",031101266,Cardinal Health,6813490645,BMO Harris Bank (US),071000288,ACH Credit,54592.34,USD,Completed
TRNBE1CC66911,2025-02-25,The Home Depot,1556722718,BMO Harris Bank (US),071000288,Oracle Corp.,1107992510,JPMorgan Chase,021000021,ACH Credit,131693.68,USD,Pending
TRN31A0E2F667,2025-05-01,Procter & Gamble,3339168493,BMO Harris Bank (US),071000288,Digital Realty Trust,4874804225,Wells Fargo,121000248,ACH Credit,102213.58,USD,Completed
TRN6E132C677A,2025-06-26,General Motors,7094306399,BMO Harris Bank (US),071000288,Johnson & Johnson,5597393274,U.S. Bank,091000022,ACH Credit,70068.50,USD,Completed
TRNFE1D90FE4B,2025-06-04,Walmart Inc.,2047883225,Wells Fargo,121000248,United Parcel Service (UPS),1919873774,BMO Harris Bank (US),071000288,ACH Credit,196089.80,USD,Completed
TRNBD4BB6330C,2025-02-26,Digital Realty Trust,2559770748,BMO Harris Bank (US),071000288,Ford Motor Company,5719250766,PNC Bank,043000096,ACH Credit,226961.48,USD,Completed
TRNC5AB243747,2025-01-09,Cisco Systems,3876452074,Citibank,021000089,Precision Manufacturing Inc.,4733940570,BMO Harris Bank (US),071000288,Domestic Wire,4255710.94,USD,Completed
TRNE6E0E226D9,2025-11-29,General Motors,3953817723,JPMorgan Chase,021000021,Office Depot,9570303927,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),10206.52,USD,Failed
TRN29A2767ADC,2025-03-17,Exxon Mobil,3340654373,Bank of America,026009593,Innovative Tech Solutions,7482294192,BMO Harris Bank (US),071000288,RTP (Real-Time Payment),11883.99,USD,Completed
TRN809BEB733C,2025-08-27,Starbucks Corp.,3487508509,U.S. Bank,091000022,Global Logistics Partners,2777982362,BMO Harris Bank (US),071000288,ACH Debit,65286.58,USD,Completed
TRNA0E40BF681,2025-11-25,Creative Marketing Group,6334981802,BMO Harris Bank (US),071000288,Marathon Petroleum,6714973520,U.S. Bank,091000022,ACH Credit,70700.42,USD,Completed
TRN489FE857B5,2025-11-05,UnitedHealth Group,8114120820,BMO Harris Bank (US),071000288,Costco Wholesale,9226622220,Citibank,021000089,RTP (Real-Time Payment),23194.85,USD,Failed
TRN1480F20C41,2025-08-07,Costco Wholesale,1063961524,Citibank,021000089,Gordon Food Service,1394821081,BMO Harris Bank (US),071000288,ACH Credit,68666.25,USD,Completed
TRN3601C86ACD,2025-08-13,Microsoft Corp.,5170354856,BMO Harris Bank (US),071000288,Global Logistics Partners,2852020604,Bank of America,026009593,ACH Credit,240787.96,USD,Failed
TRN9431925009,2025-07-31,Office Depot,5870182470,Wells Fargo,121000248,Apple Inc.,9419783545,BMO Harris Bank (US),071000288,ACH Debit,53749.94,USD,Completed
TRNB7AB96D7A9,2025-07-12,Verizon Communications,9696961023,BMO Harris Bank (US),071000288,The Home Depot,4549888205,PNC Bank,043000096,ACH Debit,111556.42,USD,Completed
TRN0980BBCA7E,2025-04-21,Delta Air Lines,9710901649,BMO Harris Bank (US),071000288,PayDay Services Inc.,9578812017,JPMorgan Chase,021000021,RTP (Real-Time Payment),10098.99,USD,Completed
TRNC4F7A70218,2025-06-22,Procter & Gamble,7146494779,JPMorgan Chase,021000021,Global Logistics Partners,6469440060,BMO Harris Bank (US),071000288,ACH Credit,134847.98,USD,Completed
TRN5B9943618A,2025-08-21,Office Depot,3028512849,BMO Harris Bank (US),071000288,Marathon Petroleum,9030665425,U.S. Bank,091000022,ACH Credit,213038.41,USD,Completed
TRND794E252CC,2025-03-23,Intel Corp.,4040049763,BMO Harris Bank (US),071000288,PayDay Services Inc.,1699576560,"TD Bank, N.A. (US)",031101266,ACH Credit,75895.81,USD,Failed
TRNA749894CD9,2025-02-02,Johnson & Johnson,9851009804,BMO Harris Bank (US),071000288,Alphabet Inc.,6739876190,U.S. Bank,091000022,ACH Debit,204516.97,USD,Completed
