PartyAccountKey,PartyName,AccountNumber,BankName,RoutingNumber,PartyID,BankID,AccountType,AccountStatus,CurrencyCode
31,Exxon Mobil,4830254751,Bank of America,26009593,PTY4098054023,BNK2654045252,Operating,Open,USD
32,Ford Motor Company,4050756036,Bank of America,26009593,PTY7056058482,BNK2654045252,Savings,Open,USD
33,Gordon Food Service,5237823139,U.S. Bank,91000022,PTY6164974103,BNK1729803148,Settlement,Open,USD
34,Procter & Gamble,9760484709,U.S. Bank,91000022,PTY9114316110,BNK1729803148,DDA,Open,USD
35,Boeing,8402506718,BMO Harris Bank (US),71000288,PTY4316007792,BNK8987547752,Checking,Restricted,USD
36,CVS Health,8282881560,Citibank,21000089,PTY1282810700,BNK7811237235,Checking,Open,USD
37,Costco Wholesale,4661018734,Bank of America,26009593,PTY9054121056,BNK2654045252,Checking,Restricted,USD
38,Innovative Tech Solutions,9405873850,Citibank,21000089,PTY8946337887,BNK7811237235,Settlement,Restricted,USD
39,Target Corp.,6194829622,BMO Harris Bank (US),71000288,PTY7876339522,BNK8987547752,Settlement,Open,USD
40,Starbucks Corp.,2813796101,BMO Harris Bank (US),71000288,PTY4366635798,BNK8987547752,Savings,Open,USD
41,Exxon Mobil,4866750577,BMO Harris Bank (US),71000288,PTY4098054023,BNK8987547752,Checking,Restricted,USD
42,CVS Health,6097494220,"TD Bank, N.A. (US)",31101266,PTY1282810700,BNK5167971386,Settlement,Open,USD
43,IBM,8451669050,BMO Harris Bank (US),71000288,PTY9991254081,BNK8987547752,Operating,Open,USD
44,Costco Wholesale,6360279041,BMO Harris Bank (US),71000288,PTY9054121056,BNK8987547752,Savings,Open,USD
45,Procter & Gamble,7445447227,BMO Harris Bank (US),71000288,PTY9114316110,BNK8987547752,Settlement,Open,USD
46,Office Depot,8828632905,BMO Harris Bank (US),71000288,PTY6420189976,BNK8987547752,Checking,Open,USD
47,Cisco Systems,7590929453,BMO Harris Bank (US),71000288,PTY7660810586,BNK8987547752,Savings,Restricted,USD
48,Delta Air Lines,5645089077,Wells Fargo,121000248,PTY6986278352,BNK3042761640,Checking,Open,USD
49,Office Depot,8757132136,BMO Harris Bank (US),71000288,PTY6420189976,BNK8987547752,Operating,Open,USD
50,Cardinal Health,3076232124,"TD Bank, N.A. (US)",31101266,PTY0732888932,BNK5167971386,Savings,Restricted,USD
51,IBM,8394035661,BMO Harris Bank (US),71000288,PTY9991254081,BNK8987547752,DDA,Open,USD
52,Cardinal Health,8337665218,JPMorgan Chase,21000021,PTY0732888932,BNK0502728543,Savings,Open,USD
53,Innovative Tech Solutions,5611963997,Bank of America,26009593,PTY8946337887,BNK2654045252,Settlement,Open,USD
54,Walgreens Boots Alliance,2603455223,"TD Bank, N.A. (US)",31101266,PTY8610634653,BNK5167971386,Operating,Restricted,USD
55,"Amazon.com, Inc.",5503943316,PNC Bank,43000096,PTY2779315664,BNK5511105923,Operating,Open,USD
56,Cisco Systems,8765727858,BMO Harris Bank (US),71000288,PTY7660810586,BNK8987547752,Checking,Restricted,USD
57,The Walt Disney Company,9864252982,PNC Bank,43000096,PTY6809545140,BNK5511105923,Savings,Open,USD
58,Chevron,3627662791,Wells Fargo,121000248,PTY3748933244,BNK3042761640,Operating,Open,USD
59,Digital Realty Trust,7733630616,Citibank,21000089,PTY9286704350,BNK7811237235,DDA,Restricted,USD
60,Verizon Communications,5762224305,Citibank,21000089,PTY7037572584,BNK7811237235,Settlement,Open,USD
61,Walgreens Boots Alliance,1965192993,Wells Fargo,121000248,PTY8610634653,BNK3042761640,Savings,Open,USD
62,Alphabet Inc.,9889661932,BMO Harris Bank (US),71000288,PTY3800715745,BNK8987547752,Operating,Open,USD
63,PepsiCo,7624487871,BMO Harris Bank (US),71000288,PTY9667484413,BNK8987547752,Operating,Restricted,USD
64,Precision Manufacturing Inc.,1811770486,BMO Harris Bank (US),71000288,PTY0015665627,BNK8987547752,Checking,Open,USD
65,General Motors,8188385898,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,DDA,Open,USD
66,Procter & Gamble,5093804709,BMO Harris Bank (US),71000288,PTY9114316110,BNK8987547752,Settlement,Restricted,USD
67,Marathon Petroleum,7475213489,Citibank,21000089,PTY1715304471,BNK7811237235,Operating,Restricted,USD
68,PepsiCo,4986541219,U.S. Bank,91000022,PTY9667484413,BNK1729803148,DDA,Open,USD
69,Costco Wholesale,5498820000,BMO Harris Bank (US),71000288,PTY9054121056,BNK8987547752,Operating,Open,USD
70,Intel Corp.,9526742852,BMO Harris Bank (US),71000288,PTY1011683210,BNK8987547752,DDA,Open,USD
71,Target Corp.,6443804489,U.S. Bank,91000022,PTY7876339522,BNK1729803148,Savings,Open,USD
72,Marathon Petroleum,3047036448,PNC Bank,43000096,PTY1715304471,BNK5511105923,Operating,Restricted,USD
73,Intel Corp.,6931931395,Wells Fargo,121000248,PTY1011683210,BNK3042761640,Operating,Restricted,USD
74,McKesson,3299534261,"TD Bank, N.A. (US)",31101266,PTY9015919892,BNK5167971386,Savings,Open,USD
75,AmerisourceBergen,1245369299,BMO Harris Bank (US),71000288,PTY6368312283,BNK8987547752,Operating,Open,USD
76,Alphabet Inc.,9757580051,"TD Bank, N.A. (US)",31101266,PTY3800715745,BNK5167971386,Settlement,Open,USD
77,Office Depot,9176919289,Bank of America,26009593,PTY6420189976,BNK2654045252,Savings,Restricted,USD
78,CVS Health,7314210604,Citibank,21000089,PTY1282810700,BNK7811237235,Settlement,Restricted,USD
79,Main Street Cafe Supplies,6583103370,PNC Bank,43000096,PTY4103622305,BNK5511105923,Settlement,Open,USD
80,Innovative Tech Solutions,5578520586,U.S. Bank,91000022,PTY8946337887,BNK1729803148,DDA,Open,USD
81,Precision Manufacturing Inc.,6065283954,BMO Harris Bank (US),71000288,PTY0015665627,BNK8987547752,Checking,Open,USD
82,Verizon Communications,3781276621,BMO Harris Bank (US),71000288,PTY7037572584,BNK8987547752,DDA,Open,USD
83,Intel Corp.,7213118561,BMO Harris Bank (US),71000288,PTY1011683210,BNK8987547752,Savings,Open,USD
84,Main Street Cafe Supplies,2540741683,BMO Harris Bank (US),71000288,PTY4103622305,BNK8987547752,Operating,Open,USD
85,Microsoft Corp.,5348979193,PNC Bank,43000096,PTY3912292247,BNK5511105923,Checking,Open,USD
86,Delta Air Lines,1206262899,JPMorgan Chase,21000021,PTY6986278352,BNK0502728543,Savings,Open,USD
87,General Motors,4779149876,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,Checking,Open,USD
88,Ford Motor Company,7234699328,BMO Harris Bank (US),71000288,PTY7056058482,BNK8987547752,Settlement,Restricted,USD
89,Kroger,5739127381,BMO Harris Bank (US),71000288,PTY2816857400,BNK8987547752,Settlement,Restricted,USD
90,Global Logistics Partners,8300193788,BMO Harris Bank (US),71000288,PTY1309692604,BNK8987547752,Settlement,Open,USD
91,Verizon Communications,5531138756,BMO Harris Bank (US),71000288,PTY7037572584,BNK8987547752,Operating,Open,USD
92,Chevron,9838076941,BMO Harris Bank (US),71000288,PTY3748933244,BNK8987547752,Settlement,Open,USD
93,American Tower Corp.,7239100704,BMO Harris Bank (US),71000288,PTY7127548754,BNK8987547752,Settlement,Open,USD
94,Precision Manufacturing Inc.,1563333312,U.S. Bank,91000022,PTY0015665627,BNK1729803148,Settlement,Open,USD
95,The Walt Disney Company,1232142867,BMO Harris Bank (US),71000288,PTY6809545140,BNK8987547752,DDA,Open,USD
96,PepsiCo,4960304573,BMO Harris Bank (US),71000288,PTY9667484413,BNK8987547752,Savings,Open,USD
97,Oracle Corp.,9882016242,BMO Harris Bank (US),71000288,PTY2635862597,BNK8987547752,Checking,Open,USD
98,IBM,1711023521,BMO Harris Bank (US),71000288,PTY9991254081,BNK8987547752,DDA,Restricted,USD
99,Costco Wholesale,9452051488,Bank of America,26009593,PTY9054121056,BNK2654045252,Operating,Open,USD
100,Johnson & Johnson,8984960890,BMO Harris Bank (US),71000288,PTY0042961820,BNK8987547752,DDA,Open,USD
101,Starbucks Corp.,3482083955,JPMorgan Chase,21000021,PTY4366635798,BNK0502728543,Settlement,Open,USD
102,Global Logistics Partners,5925487068,U.S. Bank,91000022,PTY1309692604,BNK1729803148,Settlement,Open,USD
103,Sysco Corporation,8912776434,Citibank,21000089,PTY5683558312,BNK7811237235,Settlement,Open,USD
104,The Walt Disney Company,9162670913,BMO Harris Bank (US),71000288,PTY6809545140,BNK8987547752,DDA,Open,USD
105,The Home Depot,1341454112,"TD Bank, N.A. (US)",31101266,PTY6142414132,BNK5167971386,Operating,Restricted,USD
106,Digital Realty Trust,2950676966,Citibank,21000089,PTY9286704350,BNK7811237235,Settlement,Open,USD
107,Intel Corp.,5437488620,BMO Harris Bank (US),71000288,PTY1011683210,BNK8987547752,Operating,Open,USD
108,Procter & Gamble,4721954870,BMO Harris Bank (US),71000288,PTY9114316110,BNK8987547752,Checking,Restricted,USD
109,UnitedHealth Group,1343493781,BMO Harris Bank (US),71000288,PTY2077606336,BNK8987547752,Checking,Restricted,USD
110,Boeing,7400595143,BMO Harris Bank (US),71000288,PTY4316007792,BNK8987547752,Savings,Open,USD
111,Ford Motor Company,5362399387,PNC Bank,43000096,PTY7056058482,BNK5511105923,Settlement,Open,USD
112,Digital Realty Trust,4449528952,BMO Harris Bank (US),71000288,PTY9286704350,BNK8987547752,Savings,Restricted,USD
113,Office Depot,9160325672,JPMorgan Chase,21000021,PTY6420189976,BNK0502728543,DDA,Open,USD
114,PayDay Services Inc.,5035260915,BMO Harris Bank (US),71000288,PTY8831115208,BNK8987547752,Settlement,Open,USD
115,Alphabet Inc.,5852206202,Wells Fargo,121000248,PTY3800715745,BNK3042761640,Savings,Open,USD
116,Boeing,1007202064,Bank of America,26009593,PTY4316007792,BNK2654045252,Settlement,Open,USD
117,IBM,5070024115,Bank of America,26009593,PTY9991254081,BNK2654045252,DDA,Restricted,USD
118,Oracle Corp.,7052336305,BMO Harris Bank (US),71000288,PTY2635862597,BNK8987547752,Operating,Open,USD
119,Walgreens Boots Alliance,3986011932,U.S. Bank,91000022,PTY8610634653,BNK1729803148,DDA,Open,USD
120,Marathon Petroleum,4128599506,Bank of America,26009593,PTY1715304471,BNK2654045252,Settlement,Open,USD
121,Oracle Corp.,9022280037,BMO Harris Bank (US),71000288,PTY2635862597,BNK8987547752,Checking,Open,USD
122,CVS Health,6502840927,BMO Harris Bank (US),71000288,PTY1282810700,BNK8987547752,DDA,Open,USD
123,Walmart Inc.,1650743285,Citibank,21000089,PTY6646531938,BNK7811237235,DDA,Restricted,USD
124,Boeing,2195397757,"TD Bank, N.A. (US)",31101266,PTY4316007792,BNK5167971386,Settlement,Open,USD
125,IBM,9214224896,Bank of America,26009593,PTY9991254081,BNK2654045252,Operating,Open,USD
126,Delta Air Lines,8875535627,"TD Bank, N.A. (US)",31101266,PTY6986278352,BNK5167971386,DDA,Open,USD
127,The Home Depot,1556722718,BMO Harris Bank (US),71000288,PTY6142414132,BNK8987547752,Checking,Open,USD
128,Procter & Gamble,3339168493,BMO Harris Bank (US),71000288,PTY9114316110,BNK8987547752,Operating,Open,USD
129,General Motors,7094306399,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,DDA,Restricted,USD
130,Walmart Inc.,2047883225,Wells Fargo,121000248,PTY6646531938,BNK3042761640,Checking,Open,USD
131,Digital Realty Trust,2559770748,BMO Harris Bank (US),71000288,PTY9286704350,BNK8987547752,Checking,Restricted,USD
132,Cisco Systems,3876452074,Citibank,21000089,PTY7660810586,BNK7811237235,Settlement,Open,USD
133,General Motors,3953817723,JPMorgan Chase,21000021,PTY8816866210,BNK0502728543,Operating,Open,USD
134,Exxon Mobil,3340654373,Bank of America,26009593,PTY4098054023,BNK2654045252,Operating,Open,USD
135,Starbucks Corp.,3487508509,U.S. Bank,91000022,PTY4366635798,BNK1729803148,Checking,Open,USD
136,Creative Marketing Group,6334981802,BMO Harris Bank (US),71000288,PTY0828869254,BNK8987547752,Operating,Open,USD
137,UnitedHealth Group,8114120820,BMO Harris Bank (US),71000288,PTY2077606336,BNK8987547752,Settlement,Open,USD
138,Costco Wholesale,1063961524,Citibank,21000089,PTY9054121056,BNK7811237235,Savings,Open,USD
139,Microsoft Corp.,5170354856,BMO Harris Bank (US),71000288,PTY3912292247,BNK8987547752,Checking,Restricted,USD
140,Office Depot,5870182470,Wells Fargo,121000248,PTY6420189976,BNK3042761640,Operating,Open,USD
141,Verizon Communications,9696961023,BMO Harris Bank (US),71000288,PTY7037572584,BNK8987547752,Settlement,Open,USD
142,Delta Air Lines,9710901649,BMO Harris Bank (US),71000288,PTY6986278352,BNK8987547752,Settlement,Open,USD
143,Procter & Gamble,7146494779,JPMorgan Chase,21000021,PTY9114316110,BNK0502728543,Settlement,Open,USD
144,Office Depot,3028512849,BMO Harris Bank (US),71000288,PTY6420189976,BNK8987547752,Savings,Open,USD
145,Intel Corp.,4040049763,BMO Harris Bank (US),71000288,PTY1011683210,BNK8987547752,Settlement,Open,USD
146,Johnson & Johnson,9851009804,BMO Harris Bank (US),71000288,PTY0042961820,BNK8987547752,DDA,Restricted,USD
147,Innovative Tech Solutions,7558681451,BMO Harris Bank (US),71000288,PTY8946337887,BNK8987547752,Operating,Open,USD
148,General Motors,2908642000,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,Operating,Open,USD
149,Exxon Mobil,5106976111,BMO Harris Bank (US),71000288,PTY4098054023,BNK8987547752,Checking,Restricted,USD
150,Target Corp.,7023211765,BMO Harris Bank (US),71000288,PTY7876339522,BNK8987547752,Operating,Open,USD
151,AT&T,1683426843,JPMorgan Chase,21000021,PTY7409806428,BNK0502728543,Settlement,Open,USD
152,Apple Inc.,8936946793,BMO Harris Bank (US),71000288,PTY8195116288,BNK8987547752,Savings,Open,USD
153,Apple Inc.,5993836862,Citibank,21000089,PTY8195116288,BNK7811237235,Checking,Restricted,USD
154,The Home Depot,7926521127,Citibank,21000089,PTY6142414132,BNK7811237235,Settlement,Open,USD
155,Gordon Food Service,1431763470,Citibank,21000089,PTY6164974103,BNK7811237235,Savings,Restricted,USD
156,Apple Inc.,5999427041,U.S. Bank,91000022,PTY8195116288,BNK1729803148,Operating,Open,USD
157,United Parcel Service (UPS),6560131176,Wells Fargo,121000248,PTY1197137317,BNK3042761640,DDA,Restricted,USD
158,American Tower Corp.,8267413989,Wells Fargo,121000248,PTY7127548754,BNK3042761640,DDA,Open,USD
159,McKesson,7726088161,Citibank,21000089,PTY9015919892,BNK7811237235,Settlement,Open,USD
160,Cardinal Health,4283042333,BMO Harris Bank (US),71000288,PTY0732888932,BNK8987547752,Settlement,Restricted,USD
161,Global Logistics Partners,1929127063,PNC Bank,43000096,PTY1309692604,BNK5511105923,DDA,Open,USD
162,PepsiCo,1015201606,BMO Harris Bank (US),71000288,PTY9667484413,BNK8987547752,Settlement,Open,USD
163,Walgreens Boots Alliance,4049570238,PNC Bank,43000096,PTY8610634653,BNK5511105923,Checking,Open,USD
164,Exxon Mobil,1935947601,BMO Harris Bank (US),71000288,PTY4098054023,BNK8987547752,Operating,Open,USD
165,Exxon Mobil,3496602677,"TD Bank, N.A. (US)",31101266,PTY4098054023,BNK5167971386,Checking,Open,USD
166,Intel Corp.,4357590526,BMO Harris Bank (US),71000288,PTY1011683210,BNK8987547752,Checking,Open,USD
167,Creative Marketing Group,5752554154,Wells Fargo,121000248,PTY0828869254,BNK3042761640,Settlement,Open,USD
168,Ford Motor Company,8431044104,BMO Harris Bank (US),71000288,PTY7056058482,BNK8987547752,Operating,Open,USD
169,Delta Air Lines,2970007911,"TD Bank, N.A. (US)",31101266,PTY6986278352,BNK5167971386,DDA,Open,USD
170,Costco Wholesale,2927536958,BMO Harris Bank (US),71000288,PTY9054121056,BNK8987547752,DDA,Open,USD
171,Innovative Tech Solutions,2178376418,PNC Bank,43000096,PTY8946337887,BNK5511105923,Savings,Open,USD
172,CVS Health,9745943473,BMO Harris Bank (US),71000288,PTY1282810700,BNK8987547752,DDA,Open,USD
173,UnitedHealth Group,7331574724,Wells Fargo,121000248,PTY2077606336,BNK3042761640,Savings,Open,USD
174,CVS Health,4654559113,Wells Fargo,121000248,PTY1282810700,BNK3042761640,Operating,Open,USD
175,AT&T,4034145528,Bank of America,26009593,PTY7409806428,BNK2654045252,Operating,Open,USD
176,Starbucks Corp.,2012954320,U.S. Bank,91000022,PTY4366635798,BNK1729803148,Operating,Open,USD
177,Procter & Gamble,6149944475,Citibank,21000089,PTY9114316110,BNK7811237235,Operating,Restricted,USD
178,Cisco Systems,9383037013,BMO Harris Bank (US),71000288,PTY7660810586,BNK8987547752,Operating,Open,USD
179,Target Corp.,7069548349,BMO Harris Bank (US),71000288,PTY7876339522,BNK8987547752,DDA,Open,USD
180,IBM,7087494124,BMO Harris Bank (US),71000288,PTY9991254081,BNK8987547752,Operating,Open,USD
181,AmerisourceBergen,1099239140,U.S. Bank,91000022,PTY6368312283,BNK1729803148,Operating,Open,USD
182,The Walt Disney Company,7502937921,BMO Harris Bank (US),71000288,PTY6809545140,BNK8987547752,Operating,Open,USD
183,Main Street Cafe Supplies,9416713408,Citibank,21000089,PTY4103622305,BNK7811237235,Checking,Open,USD
184,UnitedHealth Group,2262318643,Citibank,21000089,PTY2077606336,BNK7811237235,Settlement,Open,USD
185,UnitedHealth Group,2809072667,Citibank,21000089,PTY2077606336,BNK7811237235,Operating,Open,USD
186,Intel Corp.,9061430396,"TD Bank, N.A. (US)",31101266,PTY1011683210,BNK5167971386,Checking,Open,USD
187,Gordon Food Service,9272045918,Wells Fargo,121000248,PTY6164974103,BNK3042761640,Checking,Restricted,USD
188,AT&T,3670793079,Wells Fargo,121000248,PTY7409806428,BNK3042761640,DDA,Restricted,USD
189,Global Logistics Partners,2491432075,JPMorgan Chase,21000021,PTY1309692604,BNK0502728543,Operating,Open,USD
190,Innovative Tech Solutions,3604769736,BMO Harris Bank (US),71000288,PTY8946337887,BNK8987547752,Settlement,Restricted,USD
191,United Parcel Service (UPS),8409305155,Bank of America,26009593,PTY1197137317,BNK2654045252,Savings,Open,USD
192,Target Corp.,9385323661,U.S. Bank,91000022,PTY7876339522,BNK1729803148,DDA,Open,USD
193,American Tower Corp.,6048121736,BMO Harris Bank (US),71000288,PTY7127548754,BNK8987547752,DDA,Open,USD
194,Costco Wholesale,6288907369,BMO Harris Bank (US),71000288,PTY9054121056,BNK8987547752,DDA,Restricted,USD
195,Target Corp.,2335996263,BMO Harris Bank (US),71000288,PTY7876339522,BNK8987547752,Operating,Open,USD
196,Boeing,7345703251,"TD Bank, N.A. (US)",31101266,PTY4316007792,BNK5167971386,Savings,Restricted,USD
197,PayDay Services Inc.,4198960334,BMO Harris Bank (US),71000288,PTY8831115208,BNK8987547752,DDA,Restricted,USD
198,UnitedHealth Group,7841359403,BMO Harris Bank (US),71000288,PTY2077606336,BNK8987547752,Settlement,Open,USD
199,Cisco Systems,9200778343,BMO Harris Bank (US),71000288,PTY7660810586,BNK8987547752,Checking,Restricted,USD
200,Alphabet Inc.,4352325034,Bank of America,26009593,PTY3800715745,BNK2654045252,Settlement,Open,USD
201,CVS Health,7779379193,BMO Harris Bank (US),71000288,PTY1282810700,BNK8987547752,Operating,Open,USD
202,"Amazon.com, Inc.",6766996475,Citibank,21000089,PTY2779315664,BNK7811237235,Checking,Open,USD
203,UnitedHealth Group,9305336772,BMO Harris Bank (US),71000288,PTY2077606336,BNK8987547752,Settlement,Open,USD
204,The Home Depot,8701777273,BMO Harris Bank (US),71000288,PTY6142414132,BNK8987547752,Operating,Open,USD
205,McKesson,3819181293,BMO Harris Bank (US),71000288,PTY9015919892,BNK8987547752,Checking,Open,USD
206,General Motors,4283563321,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,Operating,Open,USD
207,Cardinal Health,1781147289,PNC Bank,43000096,PTY0732888932,BNK5511105923,DDA,Open,USD
208,Chevron,1340256349,BMO Harris Bank (US),71000288,PTY3748933244,BNK8987547752,Savings,Open,USD
209,Starbucks Corp.,5770332405,PNC Bank,43000096,PTY4366635798,BNK5511105923,DDA,Restricted,USD
210,Walgreens Boots Alliance,3755932916,U.S. Bank,91000022,PTY8610634653,BNK1729803148,Checking,Open,USD
211,Microsoft Corp.,4445681834,"TD Bank, N.A. (US)",31101266,PTY3912292247,BNK5167971386,Operating,Open,USD
212,Boeing,5933208172,Wells Fargo,121000248,PTY4316007792,BNK3042761640,Savings,Restricted,USD
213,Intel Corp.,9434057319,U.S. Bank,91000022,PTY1011683210,BNK1729803148,DDA,Open,USD
214,Chevron,1273844236,BMO Harris Bank (US),71000288,PTY3748933244,BNK8987547752,Savings,Open,USD
215,Marathon Petroleum,5388634759,BMO Harris Bank (US),71000288,PTY1715304471,BNK8987547752,Operating,Open,USD
216,IBM,8559497837,BMO Harris Bank (US),71000288,PTY9991254081,BNK8987547752,Settlement,Open,USD
217,Innovative Tech Solutions,1992662150,Bank of America,26009593,PTY8946337887,BNK2654045252,Savings,Restricted,USD
218,United Parcel Service (UPS),1847889303,BMO Harris Bank (US),71000288,PTY1197137317,BNK8987547752,Savings,Open,USD
219,The Home Depot,9931112876,BMO Harris Bank (US),71000288,PTY6142414132,BNK8987547752,Checking,Open,USD
220,Exxon Mobil,8327824594,Bank of America,26009593,PTY4098054023,BNK2654045252,Savings,Open,USD
221,Oracle Corp.,9462224319,Wells Fargo,121000248,PTY2635862597,BNK3042761640,DDA,Open,USD
222,Marathon Petroleum,2697049596,BMO Harris Bank (US),71000288,PTY1715304471,BNK8987547752,Settlement,Open,USD
223,Chevron,8927026686,BMO Harris Bank (US),71000288,PTY3748933244,BNK8987547752,Checking,Open,USD
224,AmerisourceBergen,6949362350,BMO Harris Bank (US),71000288,PTY6368312283,BNK8987547752,Savings,Open,USD
225,Apple Inc.,2173647163,BMO Harris Bank (US),71000288,PTY8195116288,BNK8987547752,DDA,Open,USD
226,Digital Realty Trust,6891521159,BMO Harris Bank (US),71000288,PTY9286704350,BNK8987547752,Checking,Open,USD
227,United Parcel Service (UPS),8136823655,BMO Harris Bank (US),71000288,PTY1197137317,BNK8987547752,Settlement,Open,USD
228,Delta Air Lines,4106822816,BMO Harris Bank (US),71000288,PTY6986278352,BNK8987547752,DDA,Restricted,USD
229,AT&T,4830796977,U.S. Bank,91000022,PTY7409806428,BNK1729803148,Settlement,Open,USD
230,Office Depot,4548183241,Wells Fargo,121000248,PTY6420189976,BNK3042761640,DDA,Open,USD
231,Chevron,7732705811,Wells Fargo,121000248,PTY3748933244,BNK3042761640,Savings,Open,USD
232,The Walt Disney Company,9836344335,U.S. Bank,91000022,PTY6809545140,BNK1729803148,Checking,Open,USD
233,Innovative Tech Solutions,6249887702,BMO Harris Bank (US),71000288,PTY8946337887,BNK8987547752,Settlement,Open,USD
234,Costco Wholesale,6503735961,BMO Harris Bank (US),71000288,PTY9054121056,BNK8987547752,Checking,Open,USD
235,Kroger,4163919941,Citibank,21000089,PTY2816857400,BNK7811237235,Settlement,Open,USD
236,Intel Corp.,8930639046,PNC Bank,43000096,PTY1011683210,BNK5511105923,DDA,Open,USD
237,Exxon Mobil,1317807736,BMO Harris Bank (US),71000288,PTY4098054023,BNK8987547752,Settlement,Restricted,USD
238,Alphabet Inc.,8956523781,Citibank,21000089,PTY3800715745,BNK7811237235,Savings,Open,USD
239,Cisco Systems,5739411272,Citibank,21000089,PTY7660810586,BNK7811237235,Settlement,Open,USD
240,PayDay Services Inc.,9367650011,BMO Harris Bank (US),71000288,PTY8831115208,BNK8987547752,Checking,Open,USD
241,Alphabet Inc.,8668341043,BMO Harris Bank (US),71000288,PTY3800715745,BNK8987547752,Savings,Restricted,USD
242,Alphabet Inc.,4094752436,BMO Harris Bank (US),71000288,PTY3800715745,BNK8987547752,Checking,Open,USD
243,General Motors,2891329994,BMO Harris Bank (US),71000288,PTY8816866210,BNK8987547752,Checking,Restricted,USD
244,PayDay Services Inc.,8341718582,BMO Harris Bank (US),71000288,PTY8831115208,BNK8987547752,Settlement,Open,USD
245,Innovative Tech Solutions,3548410455,BMO Harris Bank (US),71000288,PTY8946337887,BNK8987547752,Checking,Open,USD
246,Office Depot,1395167666,BMO Harris Bank (US),71000288,PTY6420189976,BNK8987547752,Operating,Restricted,USD
